CropID,CropName,LU_Desc-working,LU Group,SVIHM_CODE,LandIQ Group,LandIQ ID,Cropscape Group,Cropscape ID
31065,CHRYSANTHEMUM (MUM),CHRYSANTHEMUM (MUM),Nurseries-Outdoor,0,--,,,
32000,ORNAMENTAL PLANTS (HERB. & WOODY) (ALL OR UNSPEC),ORNAMENTAL PLANTS (HERB. & WOODY) (ALL OR UNSPEC),Nurseries-Outdoor,0,--,,,
32002,ORNAMENTAL VINES (HERB. & WOODY) (ALL OR UNSPEC.),ORNAMENTAL VINES (HERB. & WOODY) (ALL OR UNSPEC.),Nurseries-Outdoor,0,--,,,
32005,ORNAMENTAL EVERGREENS (ALL OR UNSPEC),ORNAMENTAL EVERGREENS (ALL OR UNSPEC),Nurseries-Outdoor,0,--,,,
33007,GOLF COURSE TURF,GOLF COURSE TURF,Golf Course Turf-Parks,0,UL - URBAN LANDSCAPE,UL - 2,,
33008,TURF/SOD,TURF/SOD,Golf Course Turf-Parks,0,"? same as ""Turf farms?"" P - PASTURE",P - 7,Crops,59
33009,ORNAMENTAL GROUND COVERS (ALL OR UNSPEC),ORNAMENTAL GROUND COVERS (ALL OR UNSPEC),Golf Course Turf-Parks,0,UL - URBAN LANDSCAPE,UL - 3,,
33017,BERMUDAGRASS,BERMUDAGRASS,Golf Course Turf-Parks,0,? same as above?,,,
33028,DICHONDRA (GROUND COVER),DICHONDRA (GROUND COVER),Golf Course Turf-Parks,0,--,,,
33054,LOVEGRASS,LOVEGRASS,Golf Course Turf-Parks,0,--,,,
34000,ORNAMENTAL SHRUBS (ALL OR UNSPEC) (WOODY/HERB.),ORNAMENTAL SHRUBS (ALL OR UNSPEC) (WOODY/HERB.),Nurseries-Outdoor,0,--,,,
34006,ORNAMENTAL BROADLEAF EVERGREEN SHRUBS,ORNAMENTAL BROADLEAF EVERGREEN SHRUBS,Nurseries-Outdoor,0,? not sure NR - RIPARIAN VEGETATION,NR - 3,,
34101,PHYSOCARPUS/NINEBARK; PHYSOCARPUS OPULIFOLIUS,PHYSOCARPUS/NINEBARK; PHYSOCARPUS OPULIFOLIUS,Nurseries-Outdoor,0,--,,,
34120,ROSE,ROSE,Nurseries-Outdoor,0,--,,,
35000,ORNAMENTAL AND/OR SHADE TREES (ALL OR UNSPEC),ORNAMENTAL AND/OR SHADE TREES (ALL OR UNSPEC),Woodlands,0,"? same as "" ornamental landscape (excluding lawns) irrigated"" UL - URBAN LANDSCAPE",UL - 3,,
35007,ORNAMENTAL CONIFERS (ALL OR UNSPEC),ORNAMENTAL CONIFERS (ALL OR UNSPEC),Woodlands,0,--,,,
35097,PALM; FAMILY PALMAE,PALM; FAMILY PALMAE,Woodlands,0,--,,,
35098,PINE; PINUS SPP.,PINE; PINUS SPP.,Woodlands,0,--,,,
35101,POPLAR (POPULUS SPP.),POPLAR (POPULUS SPP.),Woodlands,0,--,,,
39003,ORNAMENTAL NURSERIES (STOCK,ORNAMENTAL NURSERIES (STOCK,Nurseries-Outdoor,0,--,,,
39009,DRIED FLOWERS,DRIED FLOWERS,Nurseries-Outdoor,0,--,,,
40000,SOIL APPLICATION (AG-CROP,SOIL APPLICATION (AG-CROP,Semiagricultural,0,--,,,
40001,MANURE,MANURE,Semiagricultural,0,--,,,
40003,COMPOST,COMPOST,Semiagricultural,0,--,,,
40004,CULL PILES (FRUIT,CULL PILES (FRUIT,Semiagricultural,0,--,,,
40008,SOIL FUMIGATION/PREPLANT,SOIL FUMIGATION,Barren-Burned,0,--,,,
40011,MUSHROOM SOIL,MUSHROOM SOIL,Nurseries-Indoor,0,--,,,
40501,NURSERY SOIL,NURSERY SOIL,Nurseries-Indoor,0,--,,,
40503,SOIL AMMEMDMENT (pH,SOIL AMMEMDMENT (pH,Semiagricultural,0,--,,,
43000,PROCESSED FOOD AND FEED PRODUCTS (ALL OR UNSPEC),PROCESSED FOOD AND FEED PRODUCTS (ALL OR UNSPEC),Semiagricultural,0,--,,,
43026,DRIED FRUIT,DRIED FRUIT,Semiagricultural,0,--,,,
43044,ANIMAL FEED (ALL OR UNSPEC),ANIMAL FEED (ALL OR UNSPEC),Semiagricultural,0,? not sure S - SEMIAGRICULTURAL & INCIDENTAL TO AGRICULTURE,"S - 2 ""livestock feed lot operations""",,
45004,TREATMENT OF EMPTY CONTAINERS (PROCESSED PRODUCTS),TREATMENT OF EMPTY CONTAINERS (PROCESSED PRODUCTS),Barren-Burned,0,--,,,
46000,STORAGE AREA/BOX,STORAGE AREA/BOX,Barren-Burned,0,UI - INDUSTRIAL,UI - 3,,
46502,GRANARY,GRANARY,Semiagricultural,0,--,,,
50001,DAIRY ANIMALS (NON-LACTATING),DAIRY ANIMALS (NON-LACTATING),Semiagricultural,0,--,,,
50002,DAIRY CATTLE (ALL OR UNSPEC),DAIRY CATTLE (ALL OR UNSPEC),Semiagricultural,0,--,,,
50006,DAIRY GOATS - NON-LACTATING,DAIRY GOATS - NON-LACTATING,Semiagricultural,0,--,,,
52000,LIVESTOCK,LIVESTOCK,Semiagricultural,0,S - SEMIAGRICULTURAL & INCIDENTAL TO AGRICULTURE,S - 2,,
52003,CATTLE,CATTLE,Semiagricultural,0,--,,,
52004,CATTLE (LACTATING) (UNSPEC) (DAIRY,CATTLE (LACTATING) (UNSPEC) (DAIRY,Semiagricultural,0,--,,,
52005,CATTLE (NON-LACTATING) (UNSPEC) (DAIRY,CATTLE (NON-LACTATING) (UNSPEC) (DAIRY,Semiagricultural,0,--,,,
52013,SHEEP,SHEEP,Semiagricultural,0,--,,,
52018,PIG,PIG,Semiagricultural,0,--,,,
52510,HONEY BEES,HONEY BEES,Semiagricultural,0,--,,,
54000,PETS (ALL OR UNSPEC),PETS (ALL OR UNSPEC),Semiagricultural,0,--,,,
55000,POULTRY,POULTRY,Semiagricultural,0,"? is this same as "" poultry farms""? S - SEMIAGRICULTURAL & INCIDENTAL TO AGRICULTURE",S - 4,,
55001,CHICKEN,CHICKEN,Semiagricultural,0,--,,,
55002,DUCK,DUCK,Semiagricultural,0,"? is "" permanent or seasonal duck marsh"" relevant? NR - RIPARIAN VEGETATION",NR - 4 OR NR - 5?,,
55008,TURKEY,TURKEY,Semiagricultural,0,--,,,
55501,EGG,EGG,Semiagricultural,0,--,,,
56005,HORSE,HORSE,Semiagricultural,0,--,,,
60000,DAIRY EQUIPMENT,DAIRY EQUIPMENT,Semiagricultural,0,--,,,
60004,MILKING STALLS OR PARLORS (EXCLUDING DAIRY BARNS),MILKING STALLS OR PARLORS (EXCLUDING DAIRY BARNS),Semiagricultural,0,--,,,
60501,DAIRY BARNS,DAIRY BARNS,Semiagricultural,0,--,,,
61000,FARM/AG BUILDING,FARM/AG BUILDING,Semiagricultural,0,"? is "" farmstead (includes a farm residence)"" relevant S - SEMIAGRICULTURAL & INCIDENTAL TO AGRICULTURE", S - 1 or S - 5,,
61001,ANIMAL PREMISE,ANIMAL PREMISE,Semiagricultural,0,--,,,
61005,SILOS,SILOS,Semiagricultural,0,--,,,
61006,GREENHOUSE FUMIGATION,GREENHOUSE,Nurseries-Indoor,0,"? same as "" greenhouse""?",,,
61007,MUSHROOM HOUSE,MUSHROOM,Nurseries-Indoor,0,--,,,
61008,BEEHIVE,BEEHIVE,Semiagricultural,0,--,,,
61009,BARNS,BARNS,Semiagricultural,0,--,,,
61015,GREENHOUSES (IN USE),GREENHOUSES (IN USE),Nurseries-Indoor,0,"T - TRUCK, NURSERY AND BERRY CROPS",T - 27,,
63000,HOUSEHOLD,HOUSEHOLD,Urban-CalPIP,0,--,,,
64500,LUMBER,LUMBER,Ag_Trees,0,--,,,
64501,LUMBER (SEASONED/UNSEASONED),LUMBER (SEASONED/UNSEASONED),Ag_Trees,0,--,,,
65000,WATER AREA,WATER AREA,Water,0,NW - WATER SURFACE,NW,Open Water - Other,111
65011,SWIMMING POOL,SWIMMING POOL,Water,0,--,,,
65013,DRAINAGE SYSTEMS (ALL OR UNSPEC),DRAINAGE SYSTEMS (ALL OR UNSPEC),Water,0,NW - WATER SURFACE,NW - 3,,
65015,WATER FILTER,WATER FILTER,Water,0,--,,,
