chem_code,chem_group,chem_name,chem_alias1,chem_alias2,chem_note
276,Pesticides,ETHYLENE GLYCOL,,,
277,Pesticides,ETHYLENE OXIDE,,,
278,Pesticides,ETHYL FORMATE,,,
280,Pesticides,ETHYL HEXANEDIOL,,,
281,Pesticides,EUCALYPTUS OIL,,,
282,Pesticides,FAMPHUR,,,
283,Pesticides,SODIUM ARSENATE,,,
285,Pesticides,FENAC; SODIUM SALT,,,
288,Pesticides,FERBAM,,,
289,Pesticides,FERROUS SULFATE,,,
292,Pesticides,CAPTAFOL,,,
293,Pesticides,MERPHOS,,,
294,Pesticides,FOLPET,,,
295,Pesticides,FORMALDEHYDE,,,
296,Pesticides,SILVEX; TRIETHANOLAMINE SALT,,,
297,Pesticides,FUMARIC ACID,,,
298,Pesticides,COUMAFURYL,,,
299,Pesticides,COUMAFURYL; SODIUM SALT,,,
300,Pesticides,CHLORDIMEFORM,,,
301,Pesticides,CHLORDIMEFORM HYDROCHLORIDE,,,
305,Pesticides,TETRACHLORVINPHOS,,,
306,Pesticides,CHLORFENVINPHOS,,,
309,Pesticides,GERANIOL,,,
310,Pesticides,GIBBERELLINS,,,
314,Pesticides,AZINPHOS METHYL,,,
316,Pesticides,HALAZONE,,,
317,Pesticides,HEPTACHLOR,,,
320,Pesticides,HEXACHLOROACETONE,,,
321,Pesticides,HEXACHLOROBENZENE,,,
322,Pesticides,HEXACHLOROPHENE,,,
323,Pesticides,IBA,,,
324,Pesticides,ALKYL (50%C14; 40%C12; 10%C16) DIMETHYLBENZYL AMMONIUM SACCHARINATE,,,
326,Pesticides,CALCIUM HYPOCHLORITE,,,
329,Pesticides,HYDROGEN CHLORIDE,,,
332,Pesticides,SODIUM THIOSULFATE,,,
335,Pesticides,PHOSMET,,,
339,Pesticides,PROPHAM,,,
342,Pesticides,ISOPROPYL ALCOHOL,,,
344,Pesticides,DINOCAP,,,
346,Pesticides,DICOFOL,,,
347,Pesticides,CHLORDECONE,,,
349,Pesticides,SILVEX; PROPYLENE GLYCOL BUTYL ETHER ESTER,,,
351,Pesticides,1-CHLORO-2-NITROPROPANE,KORAX,,Shortname
353,Pesticides,LEAD ARSENATE (STANDARD),,,
