CELLNUM,REGION_ID,TRS,ZONE_IHM
11344,5,12S02E34,1
11343,5,12S02E34,1
11342,5,12S02E34,1
11341,5,12S02E34,1
11340,5,12S02E34,1
11339,24,12S02E34,1
11309,24,13S02E07,1
11308,24,13S02E07,1
11307,24,13S02E07,1
11306,24,13S02E07,0
11618,24,12S02E34,1
11617,5,12S02E34,1
11616,5,12S02E34,1
11615,5,12S02E34,1
11614,5,12S02E34,1
11613,5,12S02E34,1
11612,5,12S02E34,1
11611,24,12S02E34,1
11582,24,13S02E08,1
11581,9,13S02E07,1
11580,9,13S02E07,1
11579,9,13S02E07,1
11578,9,13S02E07,1
11577,31,13S02E18,1
11576,31,13S02E18,1
11575,31,13S02E18,0
11891,24,12S02E35,1
11890,5,12S02E34,1
11889,5,12S02E34,1
11888,5,12S02E34,1
11887,5,12S02E34,1
11886,5,12S02E34,1
11885,5,12S02E34,1
11884,5,12S02E34,1
11855,24,13S02E08,1
11854,9,13S02E08,1
11853,9,13S02E08,1
11852,9,13S02E07,1
11851,9,13S02E07,1
11850,9,13S02E18,1
11849,10,13S02E18,1
11848,10,13S02E18,1
11847,10,13S02E18,1
12163,5,12S02E35,1
12162,5,12S02E35,1
12161,5,12S02E34,1
12160,5,12S02E34,1
12159,5,12S02E34,1
12158,5,12S02E34,1
12157,5,12S02E34,1
12156,24,12S02E34,1
12129,24,13S02E08,1
12128,24,13S02E08,1
12127,9,13S02E08,1
12126,9,13S02E08,1
12125,9,13S02E08,1
12124,2,13S02E08,1
12123,2,13S02E18,1
12122,2,13S02E18,1
12121,2,13S02E18,1
12120,10,13S02E18,1
12119,10,13S02E18,1
12118,10,13S02E18,1
12435,5,12S02E35,1
12434,5,12S02E35,1
12433,5,12S02E34,1
12432,5,12S02E34,1
12431,5,12S02E34,1
12430,5,12S02E34,1
12429,5,12S02E34,1
12428,24,13S02E03,1
12402,24,13S02E08,1
12401,24,13S02E08,1
12400,9,13S02E08,1
12399,9,13S02E08,1
12398,9,13S02E08,1
12397,9,13S02E08,1
12396,2,13S02E17,1
12395,2,13S02E17,1
12394,2,13S02E18,1
12393,2,13S02E18,1
12392,10,13S02E18,1
12391,10,13S02E18,1
12390,10,13S02E18,1
12389,10,13S02E18,1
12707,5,12S02E35,1
12706,5,12S02E35,1
12705,5,12S02E35,1
12704,5,12S02E34,1
12703,5,12S02E34,1
12702,5,12S02E34,1
12701,5,13S02E03,1
12700,5,13S02E03,1
12676,24,13S02E08,0
12675,9,13S02E08,1
12674,9,13S02E08,1
12673,9,13S02E08,1
12672,9,13S02E08,1
12671,9,13S02E08,1
12670,9,13S02E08,1
12669,2,13S02E17,1
12668,2,13S02E17,1
12667,2,13S02E17,1
12666,2,13S02E17,1
12665,2,13S02E18,1
12664,10,13S02E18,1
12663,10,13S02E18,1
12662,10,13S02E18,1
12661,10,13S02E18,1
12660,10,13S02E18,1
12659,10,13S02E18,1
12980,24,12S02E35,1
12979,5,12S02E35,1
12978,5,12S02E35,1
12977,5,12S02E35,1
12976,5,12S02E35,1
12975,5,12S02E34,1
12974,5,13S02E03,1
12973,5,13S02E03,1
12972,5,13S02E03,1
12971,24,13S02E03,1
12948,24,13S02E08,1
12947,9,13S02E08,1
